DevType,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,OfficeStackAsyncHaveWorkedWith,OfficeStackSyncHaveWorkedWith,AISearchDevHaveWorkedWith,ConvertedCompYearly
Data scientist or machine learning specialist,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,MongoDB;MySQL;SQLite,Microsoft Azure;VMware,Angular;AngularJS;Express;FastAPI;Flask;jQuery;Node.js,CMake,Apache Kafka;Apache Spark;CUDA;Hadoop;Hugging Face Transformers;Keras;NumPy;OpenCL;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Homebrew;Pip,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Nano;Neovim;RStudio;Visual Studio Code,GitHub Discussions;Markdown File,Discord;Google Meet;Slack;Whatsapp;Zoom,ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode,7322
Data scientist or machine learning specialist,JavaScript;Julia;Python;SQL;TypeScript,DuckDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Hetzner;Netlify;Vercel,Next.js;React;Vue.js,NA,JAX;NumPy;Pandas;Ruff;Scikit-Learn;Torch/PyTorch,Ansible;Make;Vite,IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,NA,NA,ChatGPT,91295
Data or business analyst,Python;SQL,PostgreSQL,NA,Django,NA,NA,NA,Emacs,NA,NA,NA,14142
Data scientist or machine learning specialist,R;SQL,BigQuery;DuckDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Google Cloud,NA,NA,Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Homebrew,RStudio;Visual Studio Code,Jira;Monday.com,Microsoft Teams;Slack;Whatsapp;Zoom,ChatGPT;GitHub Copilot,100000
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;SQL,MySQL;Neo4J;PostgreSQL;Presto;SQLite,NA,Django;Vue.js,NA,NumPy;Scikit-Learn,APT;Docker;Kubernetes,Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code,Confluence;Jira,Microsoft Teams;Whatsapp,ChatGPT,3021
Data scientist or machine learning specialist,HTML/CSS;JavaScript;Python,DuckDB;MongoDB;Redis,Amazon Web Services (AWS),FastAPI;Next.js;React,NA,CUDA;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,APT;Docker;Homebrew;Make;npm;Pip;Terraform;Webpack;Yarn,IPython;Jupyter Notebook/JupyterLab;PyCharm;Sublime Text,Clickup;Confluence;Jira;Miro,Google Meet;Microsoft Teams;Slack;Zoom,ChatGPT,122124
"Developer, AI",Python,NA,Microsoft Azure,NA,doctest,Apache Spark;mlflow;NumPy;Pandas;Ruff;Scikit-Learn,Make;Pip,IntelliJ IDEA;Visual Studio Code,Azure Devops;Confluence;Markdown File,Discord;Microsoft Teams;Whatsapp,Phind,64444
Data scientist or machine learning specialist,R,MySQL,NA,NA,NA,Tidyverse,NA,RStudio,Markdown File,NA,NA,72600
Data scientist or machine learning specialist,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Scala;SQL,BigQuery;Cosmos DB;Databricks SQL;Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL;Presto;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Django;Flask;Node.js,Arduino,Apache Kafka;Apache Spark;Keras;mlflow;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Kubernetes;Pip,Jupyter Notebook/JupyterLab;Nano;Notepad++;Spyder;Visual Studio Code,Azure Devops;Basecamp;Confluence;Jira;Notion;Trello,Google Chat;Google Meet;Microsoft Teams;Slack;Zoom,ChatGPT;Claude;Google Gemini;Perplexity AI;Visual Studio Intellicode,75332
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;SQL,MongoDB;Redis;Snowflake,Amazon Web Services (AWS),NA,NA,Apache Spark;Hugging Face Transformers;Pandas,Pip,IntelliJ IDEA;Visual Studio Code,Jira,Microsoft Teams;Slack;Whatsapp,ChatGPT,183493
